7.5184 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f82b18311f0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f82b1831190>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8281802b50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8290fd7760>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5187 	EXP 	window1: mouseVisible = True
7.5188 	EXP 	window1: backgroundImage = ''
7.5188 	EXP 	window1: backgroundFit = 'none'
7.5240 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.5241 	EXP 	window1: recordFrameIntervals = False
7.6085 	EXP 	window1: recordFrameIntervals = True
7.7018 	EXP 	Screen (0) actual frame rate measured at 120.10Hz
7.7019 	EXP 	window1: recordFrameIntervals = False
7.7029 	EXP 	window1: mouseVisible = False
10.9140 	EXP 	mouse_version_ibl: status = STARTED
10.9145 	EXP 	window1: mouseVisible = True
10.9571 	EXP 	Created fixation_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='fixation_object.png', interpolate=True, mask='circle', maskParams=None, name='fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), texRes=128.0, units='height', win=Window(...))
10.9573 	EXP 	window1: mouseVisible = True
